Gene,Description,Locus,RPKM_ctrl,RPKM_case,p_value,Fold change
KRT18P12,keratin 18 pseudogene 12,chr1:212597713-212791574,0.77112,0,0,NA
MIR1181,microRNA 1181,chr19:10362808-10375271,0.000242459,0,0,NA
MIR1182,microRNA 1182,chr1:229221557-229242608,0.0415063,0,0,NA
MIR1304,microRNA 1304,chr11:93034524-93114308,31.2599,0,0,NA
MIR935,microRNA 935,chr19:59158105-59177951,0.0516703,0,0,NA
NCRNA00169,non-protein coding RNA 169,chr16:21177342-21237413,0,0.301296,0,NA
PDE6A,"""phosphodiesterase 6A, cGMP-specific, rod, alpha""",chr5:149220420-149304549,0.442449,0,0,NA
PHOX2A,paired-like homeobox 2a,chr11:71613472-71632852,0.565895,0,0,NA
PRAMEF11,PRAME family member 11,chr1:12774132-12844828,0.0709338,0,0,NA
RNF113B,ring finger protein 113B,chr13:97593434-97900017,0,0.532893,0,NA
RNF133,ring finger protein 133,chr7:121745716-122313790,0,0.630025,0,NA
SLC22A25,"""solute carrier family 22, member 25""",chr11:62687871-62753700,0,0.767033,0,NA
SMAD5OS,SMAD family member 5 opposite strand,chr5:135493103-135546321,0,0.574261,0,NA
SNORA10,"""small nucleolar RNA, H/ACA box 10""",chr16:1952062-1954828,5.97913,0,0,NA
SNORA11D,"""small nucleolar RNA, H/ACA box 11D""",chrX:51944658-51952104,6.80987,0,0,NA
SNORA11E,"""small nucleolar RNA, H/ACA box 11E""",chrX:51821662-51829108,6.99687,0,0,NA
SNORA15,"""small nucleolar RNA, H/ACA box 15""",chr7:56086871-56099176,0,3.02132,0,NA
SNORA33,"""small nucleolar RNA, H/ACA box 33""",chr6:133177373-133180396,8.59384,0,0,NA
SNORA48,"""small nucleolar RNA, H/ACA box 48""",chr17:7393098-7426152,12.0784,0,0,NA
SNORA52,"""small nucleolar RNA, H/ACA box 52""",chr11:799935-802876,0,14.5229,0,NA
SNORA53,"""small nucleolar RNA, H/ACA box 53""",chr12:97511533-97519906,5.9263,0,0,NA
SNORA60,"""small nucleolar RNA, H/ACA box 60""",chr20:36508738-36512978,9.01172,0,0,NA
SNORA7B,"""small nucleolar RNA, H/ACA box 7B""",chr3:130584457-130601009,7.70494,0,0,NA
SNORD14D,"""small nucleolar RNA, C/D box 14D""",chr11:122433412-122438054,52.9026,0,0,NA
SNORD14E,"""small nucleolar RNA, C/D box 14E""",chr11:122433412-122438054,0,80.0863,0,NA
SNORD83B,"""small nucleolar RNA, C/D box 83B""",chr22:38038832-38045616,27.0346,0,0,NA
TCTEX1D4,Tctex1 domain containing 4,chr1:45038622-45045544,0.813031,0,0,NA
TMSB4XP2,"""thymosin beta 4, X-linked pseudogene 2""",chr2:3620419-3669911,0,0.163047,0,NA
WDR38,WD repeat domain 38,chr9:126655575-126664061,0.641841,0,0,NA
ZNF729,zinc finger protein 729,chr19:22261091-22661215,0.154478,0,0,NA
All these genes reach the significant threshold of FDR < 0.05; gene symbols in bold are genes also in the SZGene list by linkage/association studies.  ,,,,,,
The genes are ranked by their fold changes; fold changes are calculated as the ratio of the RPKM between cases and contorls ,,,,,,
"""-"" represents for downregulation in cases and ""NA"" indicates genes expressed in only one group.",,,,,,
